"bad_stop","confidence_1","stop_id_1","stop_name_1","confidence_2","stop_id_2","stop_name_2"
"downsviewstation","73","14635","Broadview Station","73","14635","Broadview Station"
"victoria park stn.","100","14786","Victoria Park Station","100","14786","Victoria Park Station"
"eastmall and rathburn","86","6010","Rathburn Rd at Kipling Ave West Side","86","1478","Rathburn Rd at Walkway to Alanmeade Cres"
"mimico and lakeshore","86","5192","Lake Shore Blvd West at Mimico Ave","86","6978","Royal York Rd at Cavell Ave - Mimico GO Station"
"moore park-steeles","86","1974","Don Mills Rd at Steeles Ave East","86","6372","Ellesmere Rd at Victoria Park Ave"
"mccowan and eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"baldoon and finch","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"weston and dee avenue","86","11488","Eglinton Ave West at Avenue Rd East Side","86","5415","Lawrence Ave West at Weston Rd - Weston GO Station"
"west mall/dundas","86","5006","Doncaster Ave at Main St West Side","86","9856","Dundas St West at Bloor St West"
"markham rd-steeles","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"mt. dennis","86","5813","Mt Pleasant Rd at Eglinton Ave East North Side","86","1876","Davisville Ave at Mt Pleasant Rd"
"finch & drewry","86","9288","Drewry Ave at Gardenia Crt","86","9275","Drewry Ave at Grantbrook St"
"castlemore and the bridle walk","89","13524","Castlemore Ave at The Bridle Walk","86","1745","The Bridle Path at Lawrence Ave East South Side"
"cherry st and lakeshore","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","9942","Dundas St West at Jane St East Side"
"scar town","86","11651","East York Town Centre","86","8443","Victoria Park Ave at Crescent Town Rd"
"starspray loop","90","9970","Starspray Loop at Lawrence Ave East","86","13366","Exhibition Loop at Manitoba Dr"
"tycos and lansdowne","86","5213","Lansdowne Ave at Davenport Rd South Side","86","11632","Lansdowne Ave at Dundas St West South Side"
"overlea and don mills","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"kipling and eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"entire 60 steeles west","86","5006","Doncaster Ave at Main St West Side","86","9942","Dundas St West at Jane St East Side"
"don mills and overlea","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"sentinel and delabo","86","8082","Sentinel Rd at Finch Ave West","86","6087","Sheppard Ave West at Sentinel Rd"
"edithvale","90","3589","Finch Ave West at Edithvale Dr","60","11669","Sheppard Ave East at Meadowvale Rd"
"royal york at lakeshore","86","3479","Disco Rd at Carlingview Dr East Side","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"craigton dr. on victoria park","89","8442","Victoria Park Ave at Craigton Dr","89","4920","Craigton Dr at Victoria Park Ave East Side"
"progress and estate dr","86","3479","Disco Rd at Carlingview Dr East Side","86","11202","Farnboro Rd at Attwell Dr East Side"
"west mall cres","90","7670","Dundas St West at West Mall Cres East Side","90","1642","West Mall Cres at Dundas St West South Side"
"terminal 1","90","14092","Pearson Airport Terminal 1 - Ground Level Column R4","86","14061","Westwood Square Bus Terminal at Morning Star Dr"
"lakeshore at blvd club","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"yorkmills and lesmill","86","9078","York Mills Rd at Lesmill Rd West Side","86","2830","Lesmill Rd at York Mills Rd North Side"
"royal york and mimico","86","12175","Royal York Rd at Eglinton Ave West South Side","86","9078","York Mills Rd at Lesmill Rd West Side"
"leslie and yorkmills","86","5451","Leslie St at Kirkwood Rd North Side","86","5455","Leslie St at Lawrence Ave East"
"wynford and don mills","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"eb between kennedy and ellesmere loop","86","12584","Exhibition Loop","86","4435","Long Branch Loop"
"yonge st and moore park( madawaska)","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","13478","3174 Bathurst St"
"moore park av-yonge st","88","9031","Yonge St at Moore Park Ave","86","5006","Doncaster Ave at Main St West Side"
"69m. after eglinton aven. on warden","86","8585","Warden Ave at Lupin Dr","86","352","Bellamy Rd North at Eglinton Ave East North Side - Eglinton GO Station"
"warden and finch","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"yonge & moore park","95","9031","Yonge St at Moore Park Ave","86","9897","Eglinton Ave West at Yonge St"
"lansdowne and college","86","5213","Lansdowne Ave at Davenport Rd South Side","86","11632","Lansdowne Ave at Dundas St West South Side"
"bluffwood dr and steeles av","86","14061","Westwood Square Bus Terminal at Morning Star Dr","86","9807","McCowan Rd at Steeles Ave East North Side"
"york university busway & york blvd","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","11651","East York Town Centre"
"burmburgh cir","86","14104","2851 Morningside Ave Walkway to Raponi Cir","86","2873","McCowan Rd at Sandhurst Cir (North)"
"chinneystack and ian macdonald","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2678","Guildwood Pkwy at Guild Park and Gardens East Side"
"wynford dr on eglinton","88","2321","Eglinton Ave East at Wynford Dr","88","4721","Wynford Dr at Eglinton Ave East"
"mt dennis garage pod yonge & davenport","86","940","Davenport Rd at Dupont St","86","3244","Yonge St at Shuter St"
"mt  dennis garage pod yonge & davenport","86","929","Davenport Rd at Bedford Rd","86","940","Davenport Rd at Dupont St"
"royalcrest and hwy.27","86","11504","Highway 27 at Queen's Plate Dr - Woodbine Centre","86","11522","Steeles Ave West at Highway 27 East Side"
"scarborough college loop","86","12584","Exhibition Loop","86","7948","Earlscourt Loop at St Clair Ave West"
"danforth & vivtoria park","86","8038","Queen's Park Cres West at Hoskin Ave","86","1459","Queen's Park Cres East at St Joseph St North Side"
"jane stn.","100","14700","Jane Station","100","14700","Jane Station"
"alness","90","3","Alness St at Flint Rd","90","1607","Supertest Rd at Alness St"
"steeles and mccowan","86","1974","Don Mills Rd at Steeles Ave East","86","9604","Ellesmere Rd at McCowan Rd East Side"
"sheppard avenue","90","16286","Bartor Rd at 2233 Sheppard Avenue West","86","11488","Eglinton Ave West at Avenue Rd East Side"
"victoria prk stn","98","14786","Victoria Park Station","98","14786","Victoria Park Station"
"avenue road bombay loop","86","11488","Eglinton Ave West at Avenue Rd East Side","86","12584","Exhibition Loop"
"marilyn and st. clair","86","5006","Doncaster Ave at Main St West Side","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"long branch","95","4435","Long Branch Loop","95","4435","Long Branch Loop"
"mt dennis garage pod eg w stn","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"milner and progress","86","11364","Progress Ave at Markham Rd East Side","86","2959","Morningside Ave at Milner Ave"
"mcnicoll and vic. park","86","6372","Ellesmere Rd at Victoria Park Ave","86","5299","Lawrence Ave East at Orton Park Rd"
"scarbough town centre","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","11640","Wagman Centre"
"don mills wynford dr","95","1977","Don Mills Rd at Wynford Dr","95","1977","Don Mills Rd at Wynford Dr"
"dufferin  and finch","86","9991","Dufferin St at Springhurst Ave","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"mt dennis garage pod beford & davenport","86","929","Davenport Rd at Bedford Rd","86","940","Davenport Rd at Dupont St"
"egliniton and donlea","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","11259","1 and 3 Concorde Pl North Side"
"eglinton ave bestbourgh","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"wellesley-  parliament to sherboutrne","86","1371","Neilson Rd at Opp Walkway to Blackwater Cres & Kessack Crt","86","11516","Maple Leaf Dr at Roadway to 290-300 Queens Dr Apartments"
"eglinton and rumsey","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"eglinton at bessborough","86","3479","Disco Rd at Carlingview Dr East Side","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"eglinton and donlea","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"beth nelson","86","7546","Beth Nealson Dr at Wicksteed Ave","86","1884","Dawes Rd at Beth St"
"main and kingston rd","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"steeles and jewell","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"goddard","90","7282","Sheppard Ave West at Goddard St","64","6151","Uphill Ave at Woodward Ave"
"from estn to bstn","86","14104","2851 Morningside Ave Walkway to Raponi Cir","86","1371","Neilson Rd at Opp Walkway to Blackwater Cres & Kessack Crt"
"bay & bloor","86","9856","Dundas St West at Bloor St West","86","526","Bloor St West at Islington Ave West Side"
"weston","90","9383","Eglinton Ave West at Weston Rd","90","9383","Eglinton Ave West at Weston Rd"
"skyway/dixon","86","6991","Royal York Rd at Dixon Rd","86","4987","Dixon Rd at Islington Ave East Side"
"davenport/old weston road","86","5213","Lansdowne Ave at Davenport Rd South Side","86","5415","Lawrence Ave West at Weston Rd - Weston GO Station"
"wesmall/burnhamthorpe","86","669","Burnhamthorpe Rd at Martin Grove Rd","86","690","Burnhamthorpe Rd at Renforth Dr West Side"
"varna road","86","5410","Lawrence Ave West at Varna Dr West Side","86","6931","Ranee Ave at Varna Dr - Yorkdale Station"
"morningside and finch.","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"st.clair west stn","100","14779","St Clair West Station","100","14779","St Clair West Station"
"danforth ave. and woodbine","89","915","Danforth Ave at Woodbine Ave","89","915","Danforth Ave at Woodbine Ave"
"eglinton & bellamy","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"nighstar and cranberry","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2678","Guildwood Pkwy at Guild Park and Gardens East Side"
"lawrence stn.","95","12202","Lawrence West Station","95","12202","Lawrence West Station"
"kingston road and main street","86","7480","Lawson Rd at Kingston Rd - Highway 2A Overpass","86","1729","Hospital Rd at Wellness Way East Side - Sunnybrook Main Entrance"
"weston and steeles","86","1974","Don Mills Rd at Steeles Ave East","86","9383","Eglinton Ave West at Weston Rd"
"st clair and christe","86","1871","Davisville Ave at Cleveland St","86","5006","Doncaster Ave at Main St West Side"
"bay and harbour","86","9406","Front St West at Bay St East Side - Union Station","86","4710","Wellington St West at Bay St"
"hwlp","68","3499","Dundas St West at Howland St","68","1011","Dupont St at Howland Ave"
"wilson and dubray","86","9154","Keele St at Wilson Ave North Side","86","14141","Wilson Ave at Keele St North Side"
"avenue and bloor","86","9856","Dundas St West at Bloor St West","86","11488","Eglinton Ave West at Avenue Rd East Side"
"sheppard @ leslie","86","5451","Leslie St at Kirkwood Rd North Side","86","5455","Leslie St at Lawrence Ave East"
"weston and ray av.","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"wilson ave","95","8873","949 Wilson Ave","95","15234","379 Wilson Ave"
"airport rd and victory","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"sheppard & dudley","86","7172","Sheppard Ave East at Commons Dr","86","7172","Sheppard Ave East at Commons Dr"
"wynford and st. dennis","86","5006","Doncaster Ave at Main St West Side","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"bathurst and castlefield","86","13478","3174 Bathurst St","86","1585","Steeles Ave West at Bathurst St East Side"
"willowdale and steeles","86","9720","Birchmount Rd at Steeles Ave South Side","86","9807","McCowan Rd at Steeles Ave East North Side"
"st clair & inglewood","86","1871","Davisville Ave at Cleveland St","86","5006","Doncaster Ave at Main St West Side"
"nugget and mccowan","86","9604","Ellesmere Rd at McCowan Rd East Side","86","9807","McCowan Rd at Steeles Ave East North Side"
"wilson","90","9154","Keele St at Wilson Ave North Side","90","14141","Wilson Ave at Keele St North Side"
"warden and ellesmere","86","9622","Ellesmere Rd at East Service Rd","86","9622","Ellesmere Rd at East Service Rd"
"cummer & bayview","86","2240","Eglinton Ave East at Bayview Ave East Side","86","9122","Bayview Ave at Valleyanna Dr"
"rainee route","60","12196","Humber College Blvd at Humberline Dr South Side","60","7033","Royal York Rd at Trehorne Dr South Side"
"weston and church","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"bathurst route","86","134","Bathurst St at Elm Ridge Dr","86","143","Bathurst St at Glencairn Ave"
"eglinton and allen","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"lawernce and allen","86","4598","Sheppard Ave West at William R Allen Rd West Side","86","9155","Kennard Ave at William R Allen Rd"
"mcnicoll & victoria park","95","9179","McNicoll Ave at Victoria Park Ave","95","8479","Victoria Park Ave at McNicoll Ave"
"bay & queens quay","86","10927","Queens Quay Loop at Lower Spadina Ave","86","9406","Front St West at Bay St East Side - Union Station"
"lawrence to 401 on avenue rd","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"entire 59 maple leaf route","86","11516","Maple Leaf Dr at Roadway to 290-300 Queens Dr Apartments","86","9853","Murison Blvd at Split Maple Crt South Side"
"queen and lansdowne","86","11181","Eastern Ave at Queen St East South Side","86","5213","Lansdowne Ave at Davenport Rd South Side"
"neptune and raja st","86","1871","Davisville Ave at Cleveland St","86","5006","Doncaster Ave at Main St West Side"
"queens quay","90","10927","Queens Quay Loop at Lower Spadina Ave","90","10945","Queens Quay/Ferry Docks Station"
"princess gate","86","3117","Sherway Gardens Rd at Sherway Gate (Mall)","86","9108","Sherway Gardens Rd at Sherway Gate Mall West Side"
"lawrence to 401","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"cummer to steeles","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"bathurst north route","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","3543","Eighth St at Lake Shore Blvd West North Side"
"carscadden","90","104","Bathurst St at Carscadden Dr","63","447","Birchmount Rd at Scarden Ave"
"sentinal and hucknall","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","2678","Guildwood Pkwy at Guild Park and Gardens East Side"
"midland and sheppard","86","1036","Eglinton Ave East at Midland Ave West Side","86","7172","Sheppard Ave East at Commons Dr"
"keele and pond","86","4003","Keele St at Keelegate Dr","86","11689","Keele St at St Clair Ave West"
"lawrence and pine","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"humber loop","90","6532","Humber Loop at The Queensway","90","6532","Humber Loop at The Queensway"
"leslie & sheppard","86","5451","Leslie St at Kirkwood Rd North Side","86","5455","Leslie St at Lawrence Ave East"
"downview station","86","3539","Eglinton Ave East at Kennedy Station","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"beechgrove on lawrence","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"kingston rd and main street","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"yorok u commons","86","7172","Sheppard Ave East at Commons Dr","86","7172","Sheppard Ave East at Commons Dr"
"warden staion","96","16636","Warden Station","96","16636","Warden Station"
"steeles ave west at dufferin st","100","8268","Steeles Ave West at Dufferin St","100","8268","Steeles Ave West at Dufferin St"
"mc cowan and steeles","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"mccowan and steeles av","86","9604","Ellesmere Rd at McCowan Rd East Side","86","9720","Birchmount Rd at Steeles Ave South Side"
"midland and eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"markham and ellesmere","86","2288","Eglinton Ave East at Markham Rd West Side","86","9604","Ellesmere Rd at McCowan Rd East Side"
"jane and lawrence","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"black creek and eglinton","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","2240","Eglinton Ave East at Bayview Ave East Side"
"weston walsh","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"oxford and weston","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"buthurst and dupont","86","8122","Spadina Rd at Dupont St - Dupont Station","86","8122","Spadina Rd at Dupont St - Dupont Station"
"avenue rd and bloor","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"yonge and eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"steeles and mccowan loop.","86","9604","Ellesmere Rd at McCowan Rd East Side","86","9720","Birchmount Rd at Steeles Ave South Side"
"bathurst -dupont","86","940","Davenport Rd at Dupont St","86","134","Bathurst St at Elm Ridge Dr"
"fresh meadow","86","13704","Lawrence Ave East at Fern Meadow Rd","86","5109","Gary Dr at Meadow Oak Pl West Side"
"dufferin and lansdowne","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","11630","Dufferin Mall"
"sherborune and bloor","86","9856","Dundas St West at Bloor St West","86","526","Bloor St West at Islington Ave West Side"
"ellesmere and markham rd","89","1049","Ellesmere Rd at Markham Rd","89","5561","Markham Rd at Ellesmere Rd"
"barkdene hills","90","3377","Brooklawn Ave at Barkdene Hills","90","3306","Barkdene Hills at Gradwell Dr"
"bedford and dupont","86","8122","Spadina Rd at Dupont St - Dupont Station","86","8122","Spadina Rd at Dupont St - Dupont Station"
"eglinton  w stn","95","14667","Eglinton Station","95","14667","Eglinton Station"
"morningside and morningview","87","2948","Morningside Ave at Morningview Trail","86","10947","Morningside Ave at Casebridge Crt North Side"
"sheppard and rivalda","86","7172","Sheppard Ave East at Commons Dr","86","7172","Sheppard Ave East at Commons Dr"
"woodbine downs and carrier","87","14567","Carrier Dr at Woodbine Downs Blvd","86","11504","Highway 27 at Queen's Plate Dr - Woodbine Centre"
"avenue rd south","86","662","Danforth Rd at Kennedy Rd","86","929","Davenport Rd at Bedford Rd"
"leslie station","100","14620","Leslie Station","100","14620","Leslie Station"
"davenport & delaware","86","5213","Lansdowne Ave at Davenport Rd South Side","86","950","Davenport Rd at Ossington Ave East Side"
"islington/lakeshore","86","526","Bloor St West at Islington Ave West Side","86","11999","Bloor St West at Islington Ave"
"lesmills@ 100","86","9283","Opposite 100 Antibes Dr","86","4729","Opposite 100 Wynford Dr"
"rathburn and renforth","86","8069","Renforth Dr at Eglinton Ave West","86","6010","Rathburn Rd at Kipling Ave West Side"
"keele & gantner","86","4003","Keele St at Keelegate Dr","86","11689","Keele St at St Clair Ave West"
"finch & birchmount","86","9910","Finch Ave East at Finchdene Sq West Side","86","9909","Finch Ave East at Neilson Rd West Side"
"victoria park & 401","86","6372","Ellesmere Rd at Victoria Park Ave","86","5299","Lawrence Ave East at Orton Park Rd"
"lansdowne & davenport","95","942","Davenport Rd at Lansdowne Ave","95","942","Davenport Rd at Lansdowne Ave"
"gordon baker and sparks","86","2691","Harold Evans Cres at Gordon Baker Rd East Side","86","3898","Jane St at Gordon Mackay Rd South Side"
"route 37 islington n","86","526","Bloor St West at Islington Ave West Side","86","11999","Bloor St West at Islington Ave"
"bathurst at eglinton","86","1871","Davisville Ave at Cleveland St","86","3479","Disco Rd at Carlingview Dr East Side"
"hilda & steeles- queen's quay","86","1459","Queen's Park Cres East at St Joseph St North Side","86","11504","Highway 27 at Queen's Plate Dr - Woodbine Centre"
"queensplate","82","15915","Queens Plate Dr at Harness Rd North Side","74","11504","Highway 27 at Queen's Plate Dr - Woodbine Centre"
"orbitor just north of eglinton","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station","86","1459","Queen's Park Cres East at St Joseph St North Side"
"meadowvale & ellesmere","95","10523","Ellesmere Rd at Meadowvale Rd","95","6565","Meadowvale Rd at Ellesmere Rd"
"kennedy at radnor","95","4116","Kennedy Rd at Radnor Ave","95","4116","Kennedy Rd at Radnor Ave"
"caledonia and eglinton","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"finch av","90","9910","Finch Ave East at Finchdene Sq West Side","90","9909","Finch Ave East at Neilson Rd West Side"
"dixon and skymark","86","4987","Dixon Rd at Islington Ave East Side","86","7578","Carlingview Dr at Dixon Rd"
"west mall at rathburn","95","1505","Rathburn Rd at The West Mall","95","8683","The West Mall at Rathburn Rd"
"wellsley station","97","14797","Wellesley Station","97","14797","Wellesley Station"
"park woods villiage and cumbermere","86","1210","Kennedy Rd at Park St","86","2914","Midland Ave at Park St"
"yonge 7 montgomery","89","9030","Yonge St at Montgomery Ave","86","9897","Eglinton Ave West at Yonge St"
"400 dufferin","90","11341","Opposite 4400 Dufferin St","86","979","Dufferin St at Yorkdale Rd"
"humberwood and pinecone","86","11848","Humberwood Blvd at Pinecone Dr","86","11851","Humberwood Blvd at Pinecone Dr North Side"
"yonge & yorkmills","86","9897","Eglinton Ave West at Yonge St","86","9898","Eglinton Ave West at Yonge St West Side"
"steeles and pharmacy","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"eglinton and edin valley dr.","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","2240","Eglinton Ave East at Bayview Ave East Side"
"finch & kennedy","86","662","Danforth Rd at Kennedy Rd","86","3539","Eglinton Ave East at Kennedy Station"
"coxwell station","100","14643","Coxwell Station","100","14643","Coxwell Station"
"kenn","90","662","Danforth Rd at Kennedy Rd","90","2752","Kennedy Rd at Eglinton Ave East"
"pharmacy/steeles","86","1974","Don Mills Rd at Steeles Ave East","86","6368","Ellesmere Rd at Pharmacy Ave"
"eglinton ave west and blacktorne","90","2332","Eglinton Ave West at Blackthorn Ave","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital"
"dawes rd and cresent town","87","11256","Dawes Rd at Crescent Town Rd","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"bethridge","90","5599","Martin Grove Rd at Bethridge Rd North Side","90","4288","Kipling Ave at Bethridge Rd"
"70-o'connor route","86","4501","Pape Ave at O'Connor Dr North Side","86","5932","O'Connor Dr at Ralston Ave West Side"
"22-coxwell route","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital","86","4911","Coxwell Ave at Plains Rd"
"sheppard and chesswood","86","11669","Sheppard Ave East at Meadowvale Rd","86","13918","Sheppard Ave East at Victoria Park Ave East Side"
"lawrence and caledonia","86","14255","Don Mills Rd at Lawrence Ave East South Side","86","13068","Lawrence Ave East at East Ave - Rouge Hill GO Station"
"jane and steeles  84d","86","1974","Don Mills Rd at Steeles Ave East","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"kipling at genthorn","95","4313","Kipling Ave at Genthorn Ave","86","1871","Davisville Ave at Cleveland St"
"lansdowne & queen","86","11181","Eastern Ave at Queen St East South Side","86","5213","Lansdowne Ave at Davenport Rd South Side"
"harrison and york mills","87","7468","York Mills Rd at Harrison Rd","87","7468","York Mills Rd at Harrison Rd"
"bathurst & antibes","95","123","Bathurst St at Antibes Dr","95","9284","Antibes Dr at Bathurst St"
"evans at royal york","86","1871","Davisville Ave at Cleveland St","86","3479","Disco Rd at Carlingview Dr East Side"
"parkview hills","86","3377","Brooklawn Ave at Barkdene Hills","86","9829","Steeles Ave East at Strawberry Hills Dr"
"jane and steeles 84d","86","1974","Don Mills Rd at Steeles Ave East","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"jane","90","9952","Bloor St West at Jane St","90","13709","Finch Ave West at Jane St"
"hanna road and eglinton ave e","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"mt.pleasant and eglinton ave e","86","4908","Coxwell Ave at Mortimer Ave - Michael Garron Hospital","86","1842","3450 Danforth Ave"
"thornecliffe park","86","6372","Ellesmere Rd at Victoria Park Ave","86","5299","Lawrence Ave East at Orton Park Rd"
"eglinton and mt. plasant","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","2240","Eglinton Ave East at Bayview Ave East Side"
"york mills c.i.","86","14258","Don Mills Rd at Eglinton Ave East","86","9125","Don Mills Rd at Eglinton Ave East North Side"
"jane st. & steeles ave. west","95","10412","Jane St at Steeles Ave West","95","12088","Steeles Ave West at Jane St"
"steeles and victoria park","86","9720","Birchmount Rd at Steeles Ave South Side","86","1459","Queen's Park Cres East at St Joseph St North Side"
"birchmount gargae","86","1740","Birchmount Rd at Finch Ave East","86","7549","Birchmount Rd at Highview Ave South Side"
"victoria park and terraview blvd","90","7429","Victoria Park Ave at Terraview Blvd","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre"
"scrab. town centre","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","11635","Toronto Rehab - Bickle Centre at 130 Dunn Ave"
"lawrence and grey rd","86","3479","Disco Rd at Carlingview Dr East Side","86","14258","Don Mills Rd at Eglinton Ave East"
"warden route","86","9344","Steeles Ave East at Warden Ave","86","9905","Warden Ave at Danforth Rd South Side"
"ray & weston","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"lawrance and barrymore rd","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"rumike","90","12456","Finch Ave West at Rumike Rd East Side","90","2627","Finch Ave West at Rumike Rd"
"wilson/yonge blvd","95","8890","Wilson Ave at Yonge Blvd","95","8948","Yonge Blvd at Wilson Ave"
"weston/finch","86","9383","Eglinton Ave West at Weston Rd","86","9383","Eglinton Ave West at Weston Rd"
"vp-steeles","86","1974","Don Mills Rd at Steeles Ave East","86","9719","Bathurst St at Steeles Ave West"
"downsview route","86","6090","Sheppard Ave West at Downsview Dells Park","86","3879","Jane St at Downsview Ave North Side"
"kingston/morningside","86","11415","Military Trail at Morningside Ave","86","10947","Morningside Ave at Casebridge Crt North Side"
"victoria park & mcnicoll","95","9179","McNicoll Ave at Victoria Park Ave","95","8479","Victoria Park Ave at McNicoll Ave"
"sheppard and brentwood","86","11669","Sheppard Ave East at Meadowvale Rd","86","13918","Sheppard Ave East at Victoria Park Ave East Side"
"finch station to ofin","90","14683","Finch Station","90","14683","Finch Station"
"runneymede loop","86","13366","Exhibition Loop at Manitoba Dr","86","6530","Rouge Hill GO Station Loop"
"ellesmere and dolly varden","87","1044","Ellesmere Rd at Dolly Varden Blvd","86","9621","Ellesmere Rd at West Service Rd East Side"
"the pond rd and the bus road way","86","10755","Keele St at Toro Rd","86","4285","Kipling Ave at Belfield Rd - Etobicoke North GO Station"
"driftwood and yorkwood","86","2679","Guildwood Pkwy at Guild Park and Gardens West Side","86","1997","Driftwood Ave at Cobbler Cres (South)"
"east liberty and pirandello","86","9125","Don Mills Rd at Eglinton Ave East North Side","86","14255","Don Mills Rd at Lawrence Ave East South Side"
"rogers & weston","95","8763","Weston Rd at Rogers Rd","86","9383","Eglinton Ave West at Weston Rd"
"st clair & mount pleasant","86","985","Dufferin St at Jane Osler Blvd - Yorkdale Shopping Centre","86","4455","Dundas St West at Runnymede Rd West Side"
