bad_name, good_name, confidence
turbine and steeles, Steeles Ave West at Turbine Dr, 90
don mills and graydon hall, Graydon Hall Dr at Don Mills Rd, 95
elise/ greenwin village, Greenwin Village Rd at Elise Ter (West), 90
Keele St at Ingram Dr, Keele St at Ingram Dr, 100
Yonge St at Churchill Ave, Yonge St at Churchill Ave, 100
NONE, NONE, 10
Finch Ave West at Humberline Dr, Finch Ave West at Humberline Dr, 70
Royal York Rd at Bloor St West, Royal York Rd at Bloor St West, 100
Humberline Dr at Finch Ave West, Humberline Dr at Finch Ave West, 100
NONE, NONE, 10
Duncan Mill Rd at Don Mills Rd, Duncan Mill Rd at Don Mills Rd, 90
Lawrence Ave West, Lawrence Ave West, 90
Highway 27 at Queen's Plate Dr - Woodbine Centre, Highway 27 at Queen's Plate Dr - Woodbine Centre, 80
graigton & pharmacy, Pharmacy Ave at Craigton Dr, 90
greenwin village and elise terrace, Greenwin Village Rd at Elise Ter (West), 90
hilda & steeles, Steeles Ave West at Hilda Ave, 90
allen road & transit, Transit Rd at Wilson Ave, 60
mornigview, Morningside Ave at Military Trail, 50
finch and goldfinch, Finch Ave West at Goldfinch Crt East Side, 90
warden/fairfax, Warden Ave at Fairfax Cres, 90
king george & trethewey, Trethewey Dr at King Georges Dr, 90
ave rd n, Avenue Rd at N, NONE
wast to warden/sheppard, Warden Ave at Sheppard Ave East North Side, 60
NONE, NONE, NONE
barlone & varsity, NONE, NONE
kennedy and finch ave e, Kennedy Rd at Finch Ave East, 90
canning & pape, Pape Ave at Canning Ave, 90
bathurst st & roselawn, Bathurst St at Roselawn Ave, 100
pritchard, Pritchard Ave at Jane St, 80
jarvis and queesn quay, The Esplanade at Lower Jarvis St, 50
steeles to victoria park, Steeles Ave East at Victoria Park Ave, 80
colling brook and pharmacy, Pharmacy Ave at Collingsbrook Blvd, 90
birchmount-huntingwood, Birchmount Rd at Huntingwood Dr, 90
wilson avenue to thistle down, Thistle Down Blvd at Barkwin Dr, 50
calvington dr at exbury rd, Calvington Dr at Exbury Rd, 100
prudham/eglinton, NONE, NONE
queensquay and lower jarvis, Queens Quay Loop at Lower Spadina Ave, 80
o'connor & pape, O'Connor Dr at Pape Ave, 90
queen and dufferin, Queen St West at Dufferin St, 90
ykms station, York Mills Station, 90
68 warden route between warden station/lawrence, NONE, NONE
queensquay @ dockside, Queens Quay East at Dockside Dr, 90
main station to kennedy station, NONE, NONE
kennedy station to main station, NONE, NONE
u of t loop -military trail, Military Trail at Conlins Rd, 70
humber college bld., Humber College Blvd at Humberline Dr, 90
marshall mcluhan high school, 1107 Avenue Rd - Marshall McLuhan Secondary School, 90
islington ave @ lemsford rd., NONE, 0
bathurst to dufferin, Eglinton Ave West at Dufferin St, 50
leslie and york mills rd, Leslie St at York Mills Rd, 90
eglinton ave and lawrence, Lawrence Ave East at Eglinton Ave East, 50
eglinton and north at lawrence, Lawrence Ave East at The Donway East, 40
eglinton & mcoowan, Eglinton Ave East at McCowan Rd, 80
chaplin cres, Chaplin Cres at Avenue Rd, 90
silverdale and ellesmere, NONE, 0
castle frank station to union, Castle Frank Station, 80
martin/dufferin, Martin Grove Rd at Dufferin St, 40
brimley and ellesemere, Brimley Rd at Ellesmere Rd, 90
bay view loop, Bayview Loop, 80
steeles route, Steeles Ave East at Markham Rd, 50
blantyre and queen, Queen St East at Glen Manor Dr, 40
caledonia rd, Caledonia Rd at Lawrence Ave West, 80
markham rd on progress, Markham Rd at Progress Ave, 90
prince arthur, NONE, 0
donlands and mortimer, Mortimer Ave at Coxwell Ave - Michael Garron Hospital, 80
scarborough golf club -orton park, Lawrence Ave East at Orton Park Rd, 60
front and parliament, Parliament St at Front St East, 80
tycos/ dufferin, Dufferin St at Tycos Dr, 70
finch and mc cowan, Finch Ave East at McCowan Rd, 90
credit union/eglinton, Eglinton Ave East at Credit Union Dr, 90
goldfinch court on martin grove, Martin Grove Rd at Martin Grove Rd, 40
kingston rd and guldwood, Kingston Rd at Guildwood Pkwy East Side, 80
finch station-morningside and stains, Morningside Ave at Staines Rd, 50
finch station to neilson and crow trail, Neilson Rd at Crow Trail, 50
victoria park / steeles, Victoria Park Ave at Steeles Ave East, 100
weston and wilby cres., Weston Rd at Wilby Cres - Weston GO Station, 90
barker and albion, NONE, NONE
eglinton and keeledale park, Eglinton Ave West at Keele St/Trethewey Dr, 75
yonge & chatsworth, Yonge St at Chatsworth Dr, 90
windemere place, Windermere Pl at Windermere Ave, 90
rita and jane, Jane St at Rita Dr North Side, 90
bloor-danforth, Danforth Ave at Broadview Ave, 60
weston and knobhill, Weston Rd at Knob Hill Dr, 90
dons to rhgo, NONE, NONE
bzoo, Toronto Zoo, 80
dundas and humber hill, Dundas St West at Humber Hill Ave, 95
weston road north, Weston Rd at Northland Ave, 80
fstn to pamk & mofi  b/w's, Front St West at Bay St East Side - Union Station, 40
mccowan/commander, McCowan Rd at Commander Blvd, 100
lawrence/vic park, Lawrence Ave East at Victoria Park Ave, 100
markham/milner, Markham Rd at Milner Ave, 100
angus glen., NONE, NONE
south drive and glen rd, South Dr at Glen Rd, 100
alliance ave.and jane st., Jane St at Alliance Ave, 90
trethewey and todd bayliss, Trethewey Dr at Todd Baylis Blvd, 95
ferwood and kingston, NONE, 0
weston rd. on lawrence, Weston Rd at Lawrence Ave West, 90
steeles to vic park station, Victoria Park Ave at Steeles Ave East, 80
o'connor/ dhome, O'Connor Dr at Dohme Ave, 90
hwy 427 and eglinton,  Highway 27 at Queen's Plate Dr - Woodbine Centre, 70
entire 165 weston route, NONE, 0
6465 airport road, 6355 Airport Rd, 70
murray & wilson, Wilson Ave at Murray Rd, 75
Jane St at Steeles Ave West, Jane St at Steeles Ave West, 90
Eglinton Ave East at Eglinton GO Station, Eglinton Ave East at Eglinton GO Station, 90
Castle Frank Station, Castle Frank Station, 100
Victoria Park Ave at Rowena Dr, Victoria Park Ave at Rowena Dr, 100
Keele St at Maple Leaf Dr, Keele St at Maple Leaf Dr, 100
Keele St at Finch Ave West - Finch West Station, Keele St at Finch Ave West - Finch West Station, 90
Sheppard Ave East at Scunthorpe Rd, Sheppard Ave East at Scunthorpe Rd, 100
Mt Pleasant Rd at Erskine Ave, Mt Pleasant Rd at Erskine Ave, 100
NONE, NONE, 0
East Liberty St at Lynn Williams St, East Liberty St at Lynn Williams St, 100
kingston rd and queen, Queen St East at Kingston Rd, 75
steeles & village gate, Steeles Ave West at Village Gate, 85
spadina and queens quay, Queens Quay West at Lower Spadina Ave, 80
pearson airport to kennedy station, Eglinton Ave East at Kennedy Station, 40
la.w., Lawrence Ave West at Jane St, 35
east mall & bloor, The East Mall at Bloor St West, 90
wilson and king high, Wilson Ave at King High Ave, 80
exibition, Exhibition Loop, 95
high park statoin, High Park Station, 90
eglinton/ spadina, NONE, NONE
peter kaiser and steeles, Peter Kaiser Gate at Steeles Ave West, 90
roywood/ fenside, Roywood Dr at Fenside Dr, 90
steeles - midland, Steeles Ave East at Middlefield Rd, 90
passmore - markham, Markham Rd at Passmore Ave, 90
victory cres. and mcnaughton ave., Victory Cres at McNaughton Ave, 100
pottery rd/bayview, Pottery Rd at Broadview Ave South Side, 80
bayview/steeles, Bayview Ave at Steeles Ave East, 100
terminal #1 p.i.a., Pearson Airport Terminal 1 - Ground Level Column R4, 70
ellesmere & victoria park, Ellesmere Rd at Victoria Park Ave, 100
sheppard & settlers, Sheppard Ave East at Settlers Rd, 100
entire 60 steeles route both ways, Steeles Ave East at Brimley Rd, 50
steeles ave. and keele st., Steeles Ave West at Keele St, 90
springhurst loop to wilson station, NONE, NONE
wil station, Wilson Station, 90
dufferin street and castlefield, Dufferin St at Castlefield Ave, 90
eglinton av/lascelles blvd, Eglinton Ave West at Lascelles Blvd, 90
bannatyne and leslie, Bannatyne Dr at Leslie St, 90
davenport rd. and christie st., Davenport Rd at Christie St, 90
linden and danforth, St Clair Ave East at Linden Ave - Scarborough GO Station, 50
nashdene and markham rd, Markham Rd at Nashdene Rd, 90
Dufferin St at Rosecliff Blvd, NONE, 40
Dufferin St at Bloor St West, NONE, 50
Renforth Dr at Carlingview Dr, NONE, 80
Dufferin St at Orfus Rd, NONE, 90
Kennedy Rd at Hurley Cres South Side, NONE, 40
Dufferin St at Bloor St West, NONE, 50
Greenwood Ave at Linnsmore Cres, NONE, 80
Weston Rd at Bradstock Rd, NONE, 90
The Queensway at Royal York Rd, NONE, 40
Eglinton Ave West at Highway 27, NONE, 40
victoria park and consumers, Victoria Park Ave at Consumers Rd, 90
baldoon - finch, Baldoon Rd at Finch Ave East, 90
lstn, Leslie Station, 70
landsdowne station, Lansdowne Station, 100
eastmall & eglinton, The East Mall at Eglinton Ave West, 90
tapscot and select, Tapscott Rd at Select Ave, 90
steeles/vp, Victoria Park Ave at Steeles Ave East, 90
park wood at gisburn, Parkwoods Village Dr at Gisburn Rd, 90
kennedy/kenmark, Kennedy Rd at Kenmark Blvd, 90
yonge and dundonald, NONE, 0
finch at mccowan, Finch Ave East at McCowan Rd, 95
royal york stqation, Royal York Station, 90
warden station to the warden loop, NONE, 40
warden bridltown circle, Warden Ave at Bridletowne Cir (North), 90
haldon / east york acres, East York Acres Parking Lot at Haldon Ave, 90
barmac and ormont, Ormont Dr at Barmac Dr (East), 90
ossington & college, College St at Ossington Ave, 95
don mills/kern, Don Mills Rd at Kern Rd North Side, 90
york blvd/ common, NONE, 40
lawrance and bellamy, Lawrence Ave East at Bellamy Rd North Side, 80
bayview and davisville, Bayview Ave at Davisville Ave, 90
melrose and royal york rd., Royal York Rd at Melrose St, 90
duff/ steeles, Dufferin St at Steeles Ave West South Side, 85
bruce park and eglinton, Eglinton Ave East at Bruce Park Ave, 90
hwy 27 and queens plate dr, Highway 27 at Queen's Plate Dr - Woodbine Centre, 90
kipling loop, Kipling Ave at Rexdale Blvd, 60
ellesmere & pharmacy, Ellesmere Rd at Pharmacy Ave, 100
east mall and evans, Evans Ave at The East Mall, 90
entire 36 finch route both ways, NONE, 20
Jane St at Church St, Jane St at Church St, 90
NONE, NONE, NONE
Eglinton Ave East at Bayview Ave, Eglinton Ave East at Bayview Ave, 80
Kennedy Rd at Progress Ave, Scarborough Centre Station, 75
Castle Frank Station, Castle Frank Station, 100
Bayview Ave at Valleyanna Dr, Bayview Ave at Valleyanna Dr, 70
Leslie St at Lawrence Ave East, Finch Station, 60
Avenue Rd at Lawrence Ave West, Bombay Loop at Avenue Rd, 65
Main St, Main St, 95
Eglinton Ave East at Laird Dr, Yonge St, 55
green wood station, Greenwood Station, 90
espanade, The Esplanade at Lower Jarvis St East Side, 60
steeles to yorkmills station, Steeles Ave West at Yonge St East Side, 50
don mills station to yonge station, Don Mills Rd at Yonge St, 40
castle frank to queen, Castle Frank Station, 40
royal yorkk station, Royal York Station, 90
kennard & dufferin, NONE, 0
1davisville, Davisville Station, 50
donmills station to steeles, Steeles Ave East at Don Mills Rd, 40
grandravine drive., Grandravine Dr at Keele St, 80
NONE, NONE, NONE
NONE, NONE, NONE
islington at bloor, Islington Ave at Bloor St West, 90
lansdown and st. clair, Lansdowne Ave at St Clair Ave West, 90
middlefield  and orator gate, Middlefield Rd at Orator Gate North Side, 90
dufferin st and hope st, Dufferin St at Hope St, 100
adelaide & peter, Parliament St at Adelaide St East, 40
warden major mackenzie dr, Warden Ave at Major Mackenzie Dr East, 100
tapscott and melford, Tapscott Rd at Melford Dr (North) South Side, 90
finch/grantbrook av, Finch Ave West at Grantbrook St West Side, 85
jane at steeles, Jane St at Steeles Ave West, 90
danforth/elward, Danforth Rd at Elward Blvd, 95
don mills and eglinton`, Don Mills Rd at Eglinton Ave East, 85
don mills south of egltin, Don Mills Rd at Eglinton Ave East, 70
yorkmills station to davisville station, NONE, 10
old park rd, High Park Ave, 30
bathurst and briar hill, Bathurst St at Briar Hill Ave, 90
blackhawk way, Baldoon Rd at Blackwater Cres, 20
commerce & skymark, Commerce Blvd at Skymark Ave, 90
st dennis & linkwood, St Dennis Dr at Linkwood Lane, 90
eglinton ave duplex ave, Duplex Ave at Eglinton Ave West, 80
lakeshore blvd east loop, NONE, NONE
king & dufferin, King St West at Dufferin St, 90
kennedy sheppard ave, Kennedy Rd at Sheppard Ave East, 90
lawrence ave donway east, Lawrence Ave East at The Donway East, 90
eglinton ave and cedar dr, Eglinton Ave East at Cedar Dr, 90
:lawrence and olympia, Lawrence Ave West at Olympia Dr East Side, 80
at 100 steeles ave west, 1750 Steeles Ave West, 80
various location from bloor to 401, NONE, NONE
76 Royal York Rd South, Royal York Rd at Eglinton Ave West South Side, 70
dvp, Don Valley Pkwy West Side, 50
Woolner Ave, Woolner Ave at Jane St, 90
Dufferin to Yonge, NONE, NONE
Don Avon/Eglinton, Eglinton Ave East at Don Avon Dr, 90
brownsline at jellicoe, Brown's Line at Jellicoe Ave, 100
caledonia and lawrence ave west, Caledonia Rd at Lawrence Ave West, 90
145 downtown express - entire route, NONE, NONE
Davisville to Queens Quay, NONE, NONE
168 symington entire route, NONE, NONE
Warden Station, NONE, 60
yonge & front, Yonge St at Front St East, 80
elmhurst/ yonge, NONE, NONE
alton towers, McCowan Rd at Alton Towers Cir (North), 90
lawrence scarborough golf club rd, Lawrence Ave East at Scarborough Golf Club Rd, 90
carluke crescent, Carluke Cres at Fifeshire Rd (West) West Side, 90
scar town centre, Scarborough Centre Station, 85
graydon hall place east of don mills road, Graydon Hall Dr at Graydon Hall Pl, 80
old forest hill  & eglinton, Eglinton Ave West at Old Forest Hill Rd, 90
annette and keele, Annette St at Keele St, 100
comstock rd at warden ave, NONE, 40
humber college blvd at highway 427, NONE, 70
don mills rd at eglinton ave east, Don Mills Rd at Eglinton Ave East, 90
midland ave at sheppard ave east, Midland Ave at Sheppard Ave East, 100
eglinton ave west at marlee ave, Eglinton Ave West at Marlee Ave, 60
jane st at sheppard ave west, Sheppard Ave West at Jane St, 100
markland dr at silverthorne bush dr, NONE, 80
scott rd at eglinton ave west, Eglinton Ave West at Scott Rd, 80
midland ave at steeles ave east, Midland Ave at Steeles Ave East, 100
steeles ave west at cactus ave, Steeles Ave West at Cactus Ave, 100
Eglinton Ave West at Yonge St, NONE, 35
Lynedock Cres at Climans Rd, Lynedock Cres at Climans Rd, 100
168 Symington Ave - entire route, NONE, 60
Caledonia Rd at Lawrence Ave West, Caledonia Rd at Lawrence Ave West, 90
Major Mackenzie Dr East at McCowan Rd, York Mills Rd at Bayview Ave, 30
Brimley Rd at Bridletowne Cir,  Brimley Rd at Bridletowne Cir, 90
Bayview Ave at Davisville Ave, Bayview Ave at Davisville Ave, 100
Davisville Ave at Bayview Ave, Davisville Ave at Bayview Ave, 100
76 Royal York South - entire routing, Royal York Rd at Norseman St South Side, 60
Warden Station to Steeles and Major Mac, Warden Ave at Major Mackenzie Dr East, 40
donvalley parkway, NONE, 50
linkwood lane/st denis, St Dennis Dr at Linkwood Lane, 90
jane street to york university, Jane St at Steeles Ave West, 50
eglinton to donlands, Eglinton Ave East at Donlands Ave, 70
steeles and esna park rd, Steeles Ave East at Esna Park Dr, 100
scarborough town center to major mackenzie, Scarborough Town Centre, 50
entire 60 steeeles west route, NONE, 40
steeles to victoria park station, Steeles Ave East at Victoria Park Ave, 80
73 royal york north, NONE, 50
victoria park and finch ave, Victoria Park Ave at Finch Ave East, 90
york u, York University, 100
lakeshore blvd west @ jamieson, NONE, NONE
lawrence w. station, Lawrence West Station, 100
yonge to willowdale, NONE, NONE
keele st. on lawrence, Keele St at Lawrence Ave West, 90
islington ave and beaumonde hts dr, Islington Ave at Beaumonde Heights Dr, 90
mt pleasant/davisville, Davisville Ave at Mt Pleasant Rd, 70
brichmount rd and huntingwood dr, Birchmount Rd at Huntingwood Dr, 90
route 60., NONE, NONE
wb at danforth and birchmount, Danforth Rd at Birchmount Rd West Side, 80
leslie at bannatyne, Leslie St at Bannatyne Dr North Side, 95
weston/lawrence, Lawrence Ave West at Weston Rd, 90
victoria park - finch, Victoria Park Ave at Finch Ave East, 90
transit road, Transit Rd at Wilson Ave, 100
ossington statin, Ossington Station, 85
beth nealson dr/ wicksteed ave, Beth Nealson Dr at Wicksteed Ave, 90
cummer ave / yonge st., Cummer Ave at Yonge St, 90
brimorton dalehurst ave, Brimorton Dr at Dalehurst Ave, 95
donmills rd  and eglinton ave e, Don Mills Rd at Eglinton Ave East, 90
victoria park- finch, Victoria Park Ave at Finch Ave East, 90
NONE, NONE, 0
NONE, NONE, 0
eglimnton laird, Eglinton Ave East at Laird Dr, 90
willowdale ave / cummer ave., Willowdale Ave at Cummer Ave, 90
eglinton ave. e and, Eglinton Ave East at Avenue Rd East Side, 70
allness/bus roadway, Alness St at Brisbane Rd, 60
parkside to lakeshore, Parkside Dr at Lake Shore Blvd West, 80
yonge and eglinton & st. clair to queens quay, NONE, NONE
don mills and overlea to eglinton, Don Mills Rd at Eglinton Ave East, 80
don mills and overlea to don mills and eglinton, Don Mills Rd at Eglinton Ave East, 90
rexleigh to man station, NONE, NONE
yonge station till weston road, NONE, NONE
duplex/eglinton, Duplex Ave at Eglinton Ave West, 90
eglinton ave west and ave. rd., Eglinton Ave West at Avenue Rd East Side, 80
eglinton ave west and ave. rd north of lawrence, NONE, NONE
donmiolls station, Don Mills Station, 85
kipling station -disco/attwell - steeles loop, Kipling Ave at Belfield Rd - Etobicoke North GO Station, 50
victoria park to don mills station, NONE, NONE
lawrance and east, Lawrence Ave East at East Ave - Rouge Hill GO Station, 70
st dennis/linkwood, St Dennis Dr at Linkwood Lane, 90
145 downtown express, NONE, NONE
brentcliffe/donmills, Brentcliffe Rd at Vanderhoof Ave, 70
Woodbine Station, NONE, 60
mccowan rd at steeles ave, McCowan Rd at Steeles Ave East, 100
queen to gerrard, Gerrard St East at Parliament St, 70
woodbine and steeles ave, Steeles Ave East at Woodbine Ave, 70
coxwell and eastern, Eastern Ave at Coxwell Ave, 80
fort  york to bay street, Fort York Blvd at Bathurst St, 60
jonesville/eglinton, Eglinton Ave East at Jonesville Cres, 90
jarvis at richmond st, Parliament St at Richmond St East, 65
dufferin and homesdale, Dufferin St at Holmesdale Rd, 100
steeles loop and warden ave, Warden Ave at Steeles Ave East, 75
brimorton and lawrance,Lawrence Ave East at Brimley Rd,90
mccowan and 16th ave,McCowan Rd at 16Th Ave,100
midland north of sheppard,Midland Ave at Sheppard Ave East,90
huntingwood ave on warden,Huntingwood Dr at Warden Ave,100
dicken and carlaw,NONE,NONE
bayview at finch,Finch Ave East at Bayview Ave,90
prudham gate/eglinton,Eglinton Ave East at Prudham Gate,90
warwick/ bathurst,Bathurst St at Warwick Ave,100
runnymede and glenwood ave.,Runnymede Rd at Glenwood Ave,100
freshmeadow at don mills,Freshmeadow Dr at Don Mills Rd,100
markham road and finch ave., Markham Rd at Finch Ave East, 95
dufferin   finch, Finch Ave West at Dufferin St, 70
bathurst at hillcrest division, NONE, 0
markham rd and lawrence ave, Markham Rd at Lawrence Ave East, 95
shepperd and jane, Sheppard Ave West at Jane St, 85
islington and bloor ave, Islington Ave at Bloor St West, 95
finch ave and neilson rd, Finch Ave East at Neilson Rd, 95
bloor and queens park, Bloor St West at Queens Park, 95
coxwell / plains, Coxwell Ave at Plains Rd, 95
cosburn / pape, Cosburn Ave at Pape Ave, 95
roughe go station, Rouge Hill GO Station Loop, 85
lord seaton and the links, The Links Rd at Lord Seaton Rd, 90
broadview & erindale, Broadview Ave at Erindale Ave, 100
danforth/danforth, Danforth Ave at Danforth Rd, 80
lakeshore and strachann, Lake Shore Blvd West at Strachan Ave, 85
dufferin st & dupont, Dufferin St at Dupont St, 100
main station to queen str east, Main St at Queen St East, 70
tuxedo and markham rd, Markham Rd at Tuxedo Crt, 90
sheppard and sunfield rd, Sheppard Ave East at Shorting Rd, 70
Jane Station to  Jane St at East Dr to poja, NONE, 30
fortyork and spadina, Fort York Blvd at Bathurst St, 85
cherry street  to lakeshore, New Cherry St at Lake Shore Blvd East, 80
kennedy station to main station, Kennedy Station, 50
caledonia to yonge, NONE, 10
davisville staion, Davisville Station, 95
brimley route north and south service, NONE, 20
loop to woodbine station, Woodbine Station, 40
yonge & eglinton and laird & eglinton, Yonge St at Eglinton Ave East, 40
kennedy station - steeles, Kennedy Station, 55
oakwood and dupont, Oakwood Ave at Dupont St, 90
thorcliffe route, Thorncliffe Park Dr East at Overlea Blvd, 70
cook rd. & sentinel, Sentinel Rd at Cook Rd, 95
76 royal york south - entire route, Royal York Rd at Ashley Park Rd (North) North Side, 50
queen to castle frank, Bloor St East at Castle Frank Rd, 40
morninside & nightstar, Morningside Ave at Nightstar Rd, 90
145 downtown express -- entire route, NONE, 20
queen and hiltz, Queen St East at Hiltz Ave, 90
sheppard west bound, Sheppard Ave West at Jane St, 50
keele / densley, Keele St at Densley Ave, 95
mcnicoll ave at brahms ave, McNicoll Ave at Brahms Ave, 100
queen st east and kingston rd, Queen St East at Kingston Rd, 90
coxwell and woodbine, Coxwell Ave at Woodbine Ave, 100
yorkmills and valleyroad, York Mills Rd at Valley Woods Rd, 90
steeles/willowdale loop, Steeles Ave East at Willowdale Ave, 70
terminal 1 air port, Pearson Airport Terminal 1 - Ground Level Column R4, 80
# 65 thorncliffe park, 65 Thorncliffe Park Dr, 100
wynford dr./wynford heights cres., Wynford Dr at Wynford Heights Cres, 90
fordwich and elmhurst, Elmhurst Dr at Fordwich Cres, 100
signet and steeels, Signet Dr at Steeles Ave West, 90
scarborouigh town centre, Scarborough Town Centre, 90
stanstead and dufferin, Dufferin St at Stanstead Dr, 90
ranee and bathurst, Bathurst St at Ranee Ave, 90
greer road / lawrence, Avenue Rd at Lawrence Ave West, 70
lansdowne / dupont, Lansdowne Ave at Dupont St, 100
42 overlea & overlea, Overlea Blvd at Millwood Rd, 60
morningside @ lawrence, Morningside Ave at Lawrence Ave East, 100
lawrence & kingston rd, Lawrence Ave East at Kingston Rd, 80
ossington / davenport, Ossington Ave at Davenport Rd, 100
mccowan & ellesmere, McCowan Rd at Ellesmere Rd, 100
gerrard and coldport, NONE, 0
bathurst/lawrence n/b, Bathurst St at Lawrence Ave West, 90
caastle frank station, Castle Frank Station, 90
king and altantic, King St West at Atlantic Ave, 90
keele on sheppard, Keele St at Sheppard Ave West, 90
morningside rd and finch ave, Morningside Ave at Finch Ave East, 90
finch w. & weston, Finch Ave West at Weston Rd, 90
oakwod and davenport, Oakwood Ave at Davenport Rd, 90
richmond street yonge, Yonge St at Richmond St West, 80
york mills - yonge st, Yonge St at York Mills Rd, 90
wellesley street and yonge, Wellesley Station, 90
bloor - yonge st, Bloor Station, 90
bloor - royal york, Royal York Rd at Bloor St West, 80
mount dennis to martin grove/the westway, Martin Grove Rd at The Westway, 60
queen st and coxwell ave, Queen St East at Coxwell Ave, 100
warden ave and 14th ave, Warden Ave at 14Th Ave, 100
wilson and dallner, Wilson Ave at Dallner Rd, 100
lesmills and york mills, York Mills Rd at Lesmill Rd, 100
driftwood drive, Driftwood Ave, 80
humberwood at kens place, NONE, NONE
symington at antler, Symington Ave at Antler St, 100
neptune & wasdale, Wasdale Cres at Neptune Dr, 100
sheppard - burbank dr, Sheppard Ave East at Burbank Dr, 95
yonge / finch, Yonge St at Finch Ave West - Finch Station, 90
leslie / 401, Leslie St at Sheppard Ave East - Leslie Station, 80
lansdowne / st.clair, Lansdowne Ave at St Clair Ave West, 100
barber greener on donmills rd, Barber Greene Rd at Don Mills Rd West Side, 100
lawrence and birchmount., Lawrence Ave East at Birchmount Rd, 100
Finch Station - Old Finch/Valley Centre Dr, Finch Station, 90
Sheppard Station - Rouge Hill GO Station, NONE, 50
Weston To Sheppard Station, NONE, 50
Steeles To Jane Station, Jane St at Steeles Ave West, 75
Scar Town Centre Station - Finch/Finchdene, Scarborough Centre Station, 80
Humberline/Carrier To York Mills Station, York Mills Station, 70
Finch Station - Morningside/Staines, Finch Ave East at Morningside Ave, 70
Wilson Hts And Kennard, NONE, 50
Old Finch Ave at Valley Centre Dr, NONE, 60
Humberline Dr at Finch Ave West, NONE, 50
Finch Ave West at Senlac Rd, Finch Ave West at Senlac Rd, 100
Ellesmere Rd at Kingston Rd, NONE, 40
Tapscott Rd at Washburn Way, Tapscott Rd at Washburn Way, 100
Sentinel Rd at Hucknall Rd, Sentinel Rd at Hucknall Rd (North), 95
Upper Canada Dr at Normandale Cres (West), Upper Canada Dr at Normandale Cres (West), 95
Maniza Rd at Powell Rd, Maniza Rd at Powell Rd, 100
Warden Ave at McNicoll Ave, Warden Ave at McNicoll Ave, 100
Warden Ave at Bamburgh Cir, Warden Ave at Bamburgh Cir (South), 95
finch - dudley, NONE, 60
tuscan gate to st.regis to keele, Keele St at St Regis Cres, 60
york u blvd/ common, NONE, 40
york mills to woodbine station, York Mills Rd at Bayview Ave, 50
tapscott - blackwell, Tapscott Rd at Blackwell Ave, 90
bannytyne, Bannatyne Dr at Riderwood Dr, 70
wilson station clark & bathurst, Bathurst St at Wilson Ave, 40
warden huntingwood, Warden Ave at Huntingwood Dr, 100
warden ave and huntingwood ave, Warden Ave at Huntingwood Dr, 100
staines - morningside, Morningside Ave at Staines Rd, 90
steeles - lillian, Steeles Ave East at Lillian St East Side, 95
calvington and renshaw, Calvington Dr at Renshaw St, 90
don mills and sheppard to don mills and steeles, Steeles Ave East at Don Mills Rd, 70
mcnicol and victoria park, McNicoll Ave at Victoria Park Ave, 100
scarborough town center station, Scarborough Centre Station, 95
go loop @ major mac, NONE, 50
finch - kenneth, Finch Ave East at Kenneth Ave, 95
jarvis & esplanade, The Esplanade at Lower Jarvis St, 90
ellesmere/kingston road loop, NONE, 40
willowdale senlac route, Sheppard Ave West at Senlac Rd, 80
don mills rd. on finch, Freshmeadow Dr at Don Mills Rd, 60
kennedy sheppard, Kennedy Rd at Sheppard Ave East, 100
sewells rd. and  littles, Sewells Rd at McLevin Ave, 90
scar u of t loop, Military Trail at University of Toronto Scarborough, 90
morepark and yonge st, Yonge St at Moore Park Ave, 100
brimley / danjohn cres, Brimley Rd at Danjohn Cres (North), 100
brimley / st clair, St Clair Ave East at Brimley Rd, 100
sheppard - dudley, Steeles Ave East at Dudley Ave, 60
sliver bell lane, McNicoll Ave at Silver Springs Blvd, 60
sheppard - knigston rd, Sheppard Ave East at Kingston Rd North Side, 80
guildwood & livingston, Guildwood Pkwy at Livingston Rd, 90
dupont / emerson, Dupont St at Emerson Ave, 100
humber blvd, Humber Blvd at Cliff St, 80
clock tower and donmills rd, The Donway West at Clock Tower Rd North Side, 85
carlton and parliement, Carlton St at Parliament St, 100
castle fran station, Castle Frank Station, 95
kingston rd/saunders rd, NONE, 30
humber college/silver bell, NONE, 40
victorica park station, Victoria Park Station, 85
kennedy/ranstone, Kennedy Rd at Ranstone Gardens, 95
trethwey, Trethewey Dr at Jane St, 95
eb todmorden and cosburn, Cosburn Ave at Todmorden Lane, 85
weston & toryork, Weston Rd at Toryork Dr, 90
vaughn and winona, Vaughan Rd at Winona Dr, 95
mccowan and hurley, McCowan Rd at Hurley Cres South Side, 90
yonge & byng, Yonge St at Byng Ave, 90
yonge & park holme, Yonge St at Park Home Ave, 90
confederation parkway, NONE, 0
birchmount and crouse, Birchmount Rd at Crouse Rd, 95
Trethewey Dr at Todd Baylis Blvd, Trethewey Dr at Todd Baylis Blvd, 100
Parliament St at Shuter St, Parliament St at Shuter St, 100
Bathurst St at Drewry Ave, Bathurst St at Drewry Ave, 100
Finch Ave West at Arrow Rd, Finch Ave West at Arrow Rd, 100
Bathurst St at Drewry Ave, NONE, 40
Tandridge Cres, 75 Tandridge Cres, 90
princess-gate/wilson station, NONE, 30
Dufferin St at Bridgeland Ave, Dufferin St at Bridgeland Ave, 100
Bathurst St at Shelborne Ave, Bathurst St at Shelborne Ave, 90
Steeles Ave West at Highway 27, Steeles Ave West at Highway 27, 100
